,Date,Price,Short_PNL,ShortPNL_USD,Funding_Fees,Shorting_Fees,Pool_Money,Pool_Fees,Impermanent_Loss,Total_Open_Short_Amount,Tokens_in_Pool,Delta,Average_Open_Price,Unrealized_PnL_%,ROI
0,2022-11-22 19:51:40.671617,1135.33,0.0,0,-1.97916665e-08,-0.00025,0.0,0.0003805175038,1.0,-0.5,0.5,0.0,1135.33,0.0,0.0001304977121335
1,2022-11-22 19:51:40.781564,1135.33,0.0,0,-3.9583333e-08,-0.00025,0.0,0.0007610350076,1.0,-0.5,0.5,0.0,1135.33,-0.0,0.000510995424267
2,2022-11-22 19:51:40.888262,1135.33,0.0,0,-5.9374999500000005e-08,-0.00025,0.0,0.0011415525114,1.0,-0.5,0.5,0.0,1135.33,-0.0,0.0008914931364005
3,2022-11-22 19:51:40.995561,1135.33,0.0,0,-7.9166666e-08,-0.00025,0.0,0.0015220700152,1.0,-0.5,0.5,0.0,1135.33,-0.0,0.001271990848534
4,2022-11-22 19:51:41.102430,1135.32,0.0,0,-9.895833250000001e-08,-0.00025,-4.404015581327414e-06,0.0019025858431949841,0.9999999999806048,-0.5,0.5000022020174885,2.202017488461827e-06,1135.33,4.4040058837478555e-06,0.0016524868751649046
5,2022-11-22 19:51:41.209454,1135.2,0.0,0,-1.1874999900000001e-07,-0.00025,-5.725371548270797e-05,0.0022830815609540854,0.9999999967218247,-0.5,0.5000286284968292,2.8628496829163907e-05,1135.33,5.725207648872212e-05,0.0020329611719610997
6,2022-11-22 19:51:41.320186,1135.15,0.0,0,-1.385416655e-07,-0.00025,-7.927524819006937e-05,0.002663568899134531,0.9999999937149364,-0.5,0.5000396407666265,3.9640766626547475e-05,1135.33,7.92721059074614e-05,0.002413427215186423
7,2022-11-22 19:51:41.427031,1135.14,0.0,0,-1.5833333199999998e-07,-0.00025,-8.367961292998771e-05,0.0030440545613771,0.9999999929971364,-0.5,0.5000418433078968,4.1843307896805015e-05,1135.33,8.367611179120925e-05,0.0027938927269063212
8,2022-11-22 19:51:41.543588,1135.14,0.0,0,-1.7812499849999998e-07,-0.00025,-8.367961292998771e-05,0.0034245402236196686,0.9999999929971364,-0.5,0.5000418433078968,4.1843307896805015e-05,1135.33,8.367611179120925e-05,0.0031743585974823903
9,2022-11-22 19:51:41.650576,1135.14,0.0,0,-1.97916665e-07,-0.00025,-8.367961292998771e-05,0.0038050258858622374,0.9999999929971364,-0.5,0.5000418433078968,4.1843307896805015e-05,1135.33,8.367611179120925e-05,0.003554824468058459
10,2022-11-22 19:51:41.757179,1135.13,0.0,0,-2.177083315e-07,-0.00025,-8.808399707027625e-05,0.004185509872159547,0.999999992240526,-0.5,0.5000440458782721,4.404587827211426e-05,1135.33,8.808011767495711e-05,0.003935288284432728
11,2022-11-22 19:51:41.862175,1135.13,0.0,0,-2.3749999800000002e-07,-0.00025,-8.808399707027625e-05,0.0045659938584568585,0.999999992240526,-0.5,0.5000440458782721,4.404587827211426e-05,1135.33,8.808011767495711e-05,0.00431575247906354
12,2022-11-22 19:51:41.967184,1135.12,0.0,0,-2.5729166450000005e-07,-0.00025,-9.248840061082397e-05,0.0049464761688015274,0.9999999914451048,-0.5,0.5000462484777533,4.624847775325236e-05,1135.33,9.24841235588051e-05,0.004696214600085008
13,2022-11-22 19:51:42.075147,1135.12,0.0,0,-2.7708333100000006e-07,-0.00025,-9.248840061082397e-05,0.005326958479146197,0.9999999914451048,-0.5,0.5000462484777533,4.624847775325236e-05,1135.33,9.24841235588051e-05,0.005076677118763178
14,2022-11-22 19:51:42.206158,1135.12,0.0,0,-2.9687499750000006e-07,-0.00025,-9.248840061082397e-05,0.005707440789490866,0.9999999914451048,-0.5,0.5000462484777533,4.624847775325236e-05,1135.33,9.24841235588051e-05,0.005457139637441348
15,2022-11-22 19:51:42.309887,1135.12,0.0,0,-3.1666666400000006e-07,-0.00025,-9.248840061082397e-05,0.006087923099835536,0.9999999914451048,-0.5,0.5000462484777533,4.624847775325236e-05,1135.33,9.24841235588051e-05,0.005837602156119517
16,2022-11-22 19:51:42.412809,1135.12,0.0,0,-3.3645833050000007e-07,-0.00025,-9.248840061082397e-05,0.006468405410180205,0.9999999914451048,-0.5,0.5000462484777533,4.624847775325236e-05,1135.33,9.24841235588051e-05,0.006218064674797686
17,2022-11-22 19:51:42.519633,1135.12,0.0,0,-3.562499970000001e-07,-0.00025,-9.248840061082397e-05,0.006848887720524875,0.9999999914451048,-0.5,0.5000462484777533,4.624847775325236e-05,1135.33,9.24841235588051e-05,0.006598527193475856
18,2022-11-22 19:51:42.629198,1135.12,0.0,0,-3.7604166350000013e-07,-0.00025,-9.248840061082397e-05,0.0072293700308695445,0.9999999914451048,-0.5,0.5000462484777533,4.624847775325236e-05,1135.33,9.24841235588051e-05,0.0069789897121540255
19,2022-11-22 19:51:42.736502,1135.12,0.0,0,-3.9583333000000013e-07,-0.00025,-9.248840061082397e-05,0.0076098523412142125,0.9999999914451048,-0.5,0.5000462484777533,4.624847775325236e-05,1135.33,9.24841235588051e-05,0.0073594522308321935
20,2022-11-22 19:51:42.843713,1135.12,0.0,0,-4.1562499650000014e-07,-0.00025,-9.248840061082397e-05,0.007990334651558881,0.9999999914451048,-0.5,0.5000462484777533,4.624847775325236e-05,1135.33,9.24841235588051e-05,0.007739914749510362
21,2022-11-22 19:51:42.956345,1135.11,0.0,0,-4.354166630000002e-07,-0.00025,-9.689282355218598e-05,0.008370815285943528,0.9999999906108712,-0.5,0.5000484511063406,4.8451106340552386e-05,1135.33,9.688812944255296e-05,0.008120375175170894
22,2022-11-22 19:51:43.071910,1135.11,0.0,0,-4.5520832950000015e-07,-0.00025,-9.689282355218598e-05,0.008751295920328172,0.9999999906108712,-0.5,0.5000484511063406,4.8451106340552386e-05,1135.33,9.688812944255296e-05,0.008500836017889039
23,2022-11-22 19:51:43.189674,1135.11,0.0,0,-4.749999960000001e-07,-0.00025,-9.689282355218598e-05,0.009131776554712819,0.9999999906108712,-0.5,0.5000484511063406,4.8451106340552386e-05,1135.33,9.688812944255296e-05,0.008881296860607185
24,2022-11-22 19:51:43.317180,1135.11,0.0,0,-4.947916625000001e-07,-0.00025,-9.689282355218598e-05,0.009512257189097465,0.9999999906108712,-0.5,0.5000484511063406,4.8451106340552386e-05,1135.33,9.688812944255296e-05,0.009261757703325331
